Label,Next_Packet_After_First_Stage,First_Stage_Time_Diff,Type_6_Last_Time,Gap_23_Time,Type_5_Last_Time,Type_3_Last_Time,Type_4_Last_Time,Type_3_First_Occurrence_Time,A_IAT_P10,Type_6_Time_Ratio,Gap_34_Time_Ratio,Gap_23_Time_Ratio,Type_6_Time,A_IAT_P95,A_IAT_StdDev,DBSCAN_Cluster
XIAOMI-10MI1,11.006742000579834,0.0472548007965087,0.0472548007965087,0.0045101642608642,0.0144388675689697,0.0057129859924316,0.0074579715728759,0.0057129859924316,1.673698425292984e-05,0.496859248944253,0.0369271598024221,0.0954435144121382,0.0234789848327636,0.0133294701576232,0.0051918637475624,0
XIAOMI-10MI1,10.256462097167969,0.0650150775909423,0.0650150775909423,0.0031869411468506,0.0255200862884521,0.0042181015014648,0.00655198097229,0.0042018890380859,1.692771911619988e-05,0.5868027415445211,0.0358975111205642,0.0490184933239946,0.0381510257720947,0.0239635705947875,0.0094625005684481,0
XIAOMI-10MI1,1.1960909366607666,0.0499341487884521,0.0499341487884521,0.0036098957061768,0.0137090682983398,0.0048160552978515,0.0072119235992431,0.0047919750213623,2.408027648921132e-05,0.3923003834051927,0.047980557584786,0.0722931259221071,0.0195891857147217,0.0144165992736816,0.0052170099503418,0
XIAOMI-10MI1,11.140363931655884,0.0304689407348632,0.0304689407348632,0.0,0.0,0.0,0.0,0.0,0.0021795749664307,1.0,0.0,0.0,0.0304689407348632,0.0236302375793456,0.0137186929882862,0
XIAOMI-10MI1,10.380878925323486,0.0464158058166503,0.0464158058166503,0.0024490356445313,0.0133910179138183,0.0037188529968261,0.0057158470153808,0.0037109851837158,2.5892257690424523e-05,0.6272177191522599,0.0430240083829017,0.052762967300522,0.0291128158569336,0.0168149471282959,0.0072466752562208,0
XIAOMI-10MI1,11.123605966567991,0.0532901287078857,0.0532901287078857,0.0032410621643067,0.0149149894714355,0.0055000782012939,0.00850510597229,0.0054810047149658,1.9073486328125e-05,0.2173769098270808,0.0563899514573967,0.0608191843947845,0.0115840435028076,0.0168590545654296,0.0076946371332716,0
XIAOMI-10MI1,1.2638649940490725,0.0443720817565918,0.0443720817565918,0.0028109550476074,0.0,0.003864049911499,0.0063209533691406,0.003864049911499,2.6750564575198867e-05,0.4483477513298591,0.0548062973510281,0.0633496319381006,0.0198941230773925,0.0165239691734313,0.0064510548702047,0
VIVO-X60_1,9.273066997528076,0.0985028743743896,0.0985028743743896,0.0730211734771729,0.0852198600769043,0.0740499496459961,0.0776009559631347,0.0740499496459961,0.0007106065750121,0.0612366907014624,0.036049773569469,0.7413100779134029,0.0060319900512695,0.0501303791999817,0.0246790406023345,0
VIVO-X60_1,9.20090389251709,0.1103250980377197,0.1103250980377197,0.0735740661621094,0.0,0.0758430957794189,0.0,0.0758430957794189,0.0006682395935058,0.0715352349174582,-0.6874509710699597,0.6668842128466066,0.0078921318054198,0.0594788074493408,0.027130706019267,0
VIVO-X60_1,7.936073064804077,0.1107740402221679,0.1107740402221679,0.0752561092376708,0.0866670608520507,0.0752971172332763,0.0783801078796386,0.0752971172332763,2.6226043701171875e-05,0.0642934010589292,0.0278313460462313,0.679365933450992,0.0071220397949218,0.0519476413726806,0.024209120195882,0
VIVO-X60_1,9.436442136764526,0.1072301864624023,0.1072301864624023,0.0746920108795165,0.0851030349731445,0.0747339725494384,0.0788321495056152,0.0747151374816894,2.2268295288080382e-05,0.0802590738089097,0.0382185006981568,0.6965576890580668,0.0086061954498291,0.0502235889434813,0.0238989324739128,0
